datetime;bateria;nf;cmca
2023-04-28 11:05:54;94;563;117
2023-04-28 11:37:01;93;563;117
2023-04-28 12:06:49;94;563;117
2023-04-28 12:36:54;94;563;117
2023-04-28 13:06:49;94;563;117
2023-04-28 13:36:55;94;563;117
2023-04-28 14:06:51;94;563;117
2023-04-28 14:36:52;95;563;117
2023-04-28 15:06:54;95;562;118
2023-04-28 15:36:45;95;563;117
2023-04-28 16:06:48;95;563;117
2023-04-28 16:36:45;95;563;117
2023-04-28 17:06:46;95;563;117
2023-04-28 17:36:42;95;563;117
2023-04-28 18:06:41;95;563;117
2023-04-28 18:36:39;95;563;117
2023-04-28 19:06:41;95;563;117
2023-04-28 19:36:42;95;563;117
2023-04-28 20:06:37;95;563;117
2023-04-28 20:36:42;93;563;117
2023-04-28 21:06:37;94;563;117
2023-04-28 21:36:41;94;563;117
2023-04-28 22:06:40;94;563;117
2023-04-28 22:36:38;95;563;117
2023-04-28 23:06:36;94;563;117
2023-04-28 23:36:38;94;563;117
2023-04-29 00:06:36;94;563;117
2023-04-29 00:36:38;94;563;117
2023-04-29 01:06:34;94;563;117
2023-04-29 01:36:36;94;563;117
2023-04-29 02:06:37;94;563;117
2023-04-29 02:36:38;94;563;117
2023-04-29 03:06:33;94;563;117
2023-04-29 03:36:33;94;563;117
2023-04-29 04:06:38;94;563;117
2023-04-29 04:36:31;94;563;117
2023-04-29 05:06:35;94;563;117
2023-04-29 05:36:34;94;563;117
2023-04-29 06:06:32;94;563;117
2023-04-29 06:36:36;94;563;117
2023-04-29 07:06:34;94;563;117
2023-04-29 07:36:34;94;563;117
2023-04-29 08:06:33;94;563;117
2023-04-29 08:36:39;94;563;117
2023-04-29 09:06:35;94;563;117
2023-04-29 09:36:39;94;563;117
2023-04-29 10:06:39;94;563;117
2023-04-29 10:36:41;94;563;117
2023-04-29 11:06:41;93;563;117
2023-04-29 11:36:50;92;563;117
2023-04-29 12:06:49;94;563;117
2023-04-29 12:36:54;94;563;117
2023-04-29 13:06:49;94;563;117
2023-04-29 13:36:52;94;563;117
2023-04-29 14:06:54;94;563;117
2023-04-29 14:36:50;94;563;117
2023-04-29 15:06:50;94;563;117
2023-04-29 15:36:47;94;563;117
2023-04-29 16:06:45;94;563;117
2023-04-29 16:36:48;94;563;117
2023-04-29 17:06:44;94;563;117
2023-04-29 17:36:45;94;563;117
2023-04-29 18:06:44;94;563;117
2023-04-29 18:36:43;94;563;117
2023-04-29 19:06:41;94;563;117
2023-04-29 19:36:44;94;563;117
2023-04-29 20:06:41;94;563;117
2023-04-29 20:36:43;94;564;116
2023-04-29 21:06:40;94;564;116
2023-04-29 21:36:42;94;563;117
2023-04-29 22:06:39;94;564;116
2023-04-29 22:36:41;94;563;117
2023-04-29 23:06:44;92;564;116
2023-04-29 23:36:41;94;563;117
2023-04-30 00:06:43;94;563;117
2023-04-30 00:36:40;94;563;117
2023-04-30 01:06:43;94;563;117
2023-04-30 01:36:41;94;564;116
2023-04-30 02:06:44;92;563;117
2023-04-30 02:36:42;94;563;117
2023-04-30 03:06:40;94;563;117
2023-04-30 03:36:44;93;564;116
2023-04-30 04:06:42;94;563;117
2023-04-30 04:36:40;94;563;117
2023-04-30 05:06:43;94;564;116
2023-04-30 05:36:41;94;564;116
2023-04-30 06:06:44;94;563;117
2023-04-30 06:36:42;94;564;116
2023-04-30 07:06:39;94;564;116
2023-04-30 07:36:42;94;564;116
2023-04-30 08:06:40;94;563;117
2023-04-30 08:36:42;94;564;116
2023-04-30 09:06:40;94;564;116
2023-04-30 09:36:45;94;564;116
2023-04-30 10:06:48;93;564;116
2023-04-30 10:36:46;93;564;116
2023-04-30 11:06:46;94;564;116
2023-04-30 11:36:48;94;564;116
2023-04-30 12:06:51;91;564;116
2023-04-30 12:36:51;94;563;117
2023-04-30 13:06:51;94;563;117
2023-04-30 13:36:50;94;564;116
2023-04-30 14:06:48;94;564;116
2023-04-30 14:36:52;94;564;116
2023-04-30 15:06:52;94;564;116
2023-04-30 15:36:53;94;564;116
2023-04-30 16:06:52;94;564;116
2023-04-30 16:36:50;94;564;116
2023-04-30 17:06:39;94;564;116
2023-04-30 17:36:39;94;564;116
2023-04-30 18:06:38;94;564;116
2023-04-30 18:36:35;94;564;116
2023-04-30 19:06:36;94;565;115
2023-04-30 19:36:37;94;565;115
2023-04-30 20:06:33;94;565;115
2023-04-30 20:36:39;94;565;115
2023-04-30 21:06:34;94;565;115
2023-04-30 21:36:34;94;565;115
2023-04-30 22:06:34;94;565;115
2023-04-30 22:36:34;94;565;115
2023-04-30 23:06:34;94;565;115
2023-04-30 23:36:34;94;565;115
2023-05-01 00:06:33;94;565;115
2023-05-01 00:36:33;94;565;115
2023-05-01 01:06:37;94;565;115
2023-05-01 01:36:36;94;565;115
2023-05-01 02:06:35;94;565;115
2023-05-01 02:36:33;94;565;115
2023-05-01 03:06:36;94;565;115
2023-05-01 03:36:34;94;565;115
2023-05-01 04:06:32;94;565;115
2023-05-01 04:36:35;94;565;115
2023-05-01 05:06:32;94;565;115
2023-05-01 05:36:35;94;565;115
2023-05-01 06:06:32;93;565;115
2023-05-01 06:36:35;94;565;115
2023-05-01 07:06:32;94;565;115
2023-05-01 07:36:34;94;565;115
2023-05-01 08:06:31;94;565;115
2023-05-01 08:36:34;94;565;115
2023-05-01 09:06:32;93;565;115
2023-05-01 09:36:35;94;565;115
2023-05-01 10:06:34;94;565;115
2023-05-01 10:36:35;93;565;115
2023-05-01 11:06:38;94;565;115
2023-05-01 11:36:40;91;565;115
2023-05-01 12:06:45;93;565;115
2023-05-01 12:36:42;93;565;115
2023-05-01 13:06:45;93;565;115
2023-05-01 13:36:48;94;565;115
2023-05-01 14:06:42;91;565;115
2023-05-01 14:36:40;90;565;115
2023-05-01 15:06:41;94;565;115
2023-05-01 15:36:41;94;565;115
2023-05-01 16:06:41;94;565;115
2023-05-01 16:36:40;94;565;115
2023-05-01 17:06:38;94;565;115
2023-05-01 17:36:36;93;565;115
2023-05-01 18:06:38;89;565;115
2023-05-01 18:36:34;94;565;115
2023-05-01 19:06:35;94;565;115
2023-05-01 19:36:34;94;565;115
2023-05-01 20:06:35;94;565;115
2023-05-01 20:36:35;94;565;115
2023-05-01 21:06:35;94;565;115
2023-05-01 21:36:35;94;565;115
2023-05-01 22:06:34;90;565;115
2023-05-01 22:36:34;94;565;115
2023-05-01 23:06:33;94;565;115
2023-05-01 23:36:36;94;565;115
2023-05-02 00:06:34;94;565;115
2023-05-02 00:36:32;93;565;115
2023-05-02 01:06:36;94;565;115
2023-05-02 01:36:34;94;566;114
2023-05-02 02:06:33;94;565;115
2023-05-02 02:36:35;93;565;115
2023-05-02 03:06:32;94;566;114
2023-05-02 03:36:34;94;565;115
2023-05-02 04:06:28;94;565;115
2023-05-02 04:36:32;94;565;115
2023-05-02 05:06:30;94;565;115
2023-05-02 05:36:29;94;565;115
2023-05-02 06:06:33;94;565;115
2023-05-02 06:36:32;94;565;115
2023-05-02 07:06:31;94;565;115
2023-05-02 07:36:31;94;566;114
2023-05-02 08:06:30;94;565;115
2023-05-02 08:36:29;94;565;115
2023-05-02 09:06:34;93;565;115
2023-05-02 09:36:29;94;565;115
2023-05-02 10:06:36;94;565;115
2023-05-02 10:36:36;94;565;115
2023-05-02 11:06:37;94;565;115
2023-05-02 11:36:44;93;565;115
2023-05-02 12:06:47;94;565;115
2023-05-02 12:36:44;94;565;115
2023-05-02 13:06:44;94;565;115
2023-05-02 13:36:45;92;565;115
2023-05-02 14:06:44;94;565;115
2023-05-02 14:36:45;94;565;115
2023-05-02 15:06:45;95;565;115
2023-05-02 15:36:42;95;565;115
2023-05-02 16:06:37;95;566;114
2023-05-02 16:36:42;95;565;115
2023-05-02 17:06:36;95;566;114
2023-05-02 17:36:40;95;565;115
2023-05-02 18:06:37;95;566;114
2023-05-02 18:36:38;95;566;114
2023-05-02 19:06:32;94;566;114
2023-05-02 19:36:35;94;566;114
2023-05-02 20:06:32;94;566;114
2023-05-02 20:36:34;91;566;114
2023-05-02 21:06:31;94;566;114
2023-05-02 21:36:32;94;566;114
2023-05-02 22:06:33;94;566;114
2023-05-02 22:36:34;94;566;114
2023-05-02 23:06:31;94;566;114
2023-05-02 23:36:33;94;566;114
2023-05-03 00:06:34;94;566;114
2023-05-03 00:36:31;94;566;114
2023-05-03 01:06:33;94;566;114
2023-05-03 01:36:34;94;566;114
2023-05-03 02:06:30;94;566;114
2023-05-03 02:36:31;94;566;114
2023-05-03 03:06:31;93;566;114
2023-05-03 03:36:32;93;566;114
2023-05-03 04:06:32;93;565;115
2023-05-03 04:36:32;93;566;114
2023-05-03 05:06:31;93;565;115
2023-05-03 05:36:30;93;565;115
2023-05-03 06:06:29;93;566;114
2023-05-03 06:36:33;93;566;114
2023-05-03 07:06:31;93;566;114
2023-05-03 07:36:29;93;566;114
2023-05-03 08:06:32;93;566;114
2023-05-03 08:36:31;93;566;114
2023-05-03 09:06:32;93;566;114
2023-05-03 09:36:34;90;566;114
